iteration,exploitability_for_10_chance_sampling_CFR
1,0.9166666666666665
2,0.9166666666666667
3,0.9166666666666667
5,0.9583333333333335
6,0.6458333333333334
7,0.513888888888889
10,0.3641098484848486
12,0.31717245665250504
15,0.2521004502741492
19,0.2628630228728706
25,0.2598552911974217
31,0.23809158923630608
39,0.2032710917395712
50,0.16422819427728177
63,0.11386745566147549
79,0.143090055809809
100,0.1485391733735593
125,0.14664754588609
158,0.11010526081079408
199,0.0672011259227708
251,0.0602785002083297
316,0.04875839888359107
398,0.07034079557973777
501,0.06469356006750399
630,0.042433955395220685
794,0.06571076225409431
1000,0.026332293787720507
1258,0.03162264662953945
1584,0.03591937418901822
1995,0.033038947856726175
2511,0.03014309881859842
3162,0.01837403186358552
3981,0.023239049734491618
5011,0.01983967737059117
6309,0.011980888438021753
7943,0.01654270573400196
10000,0.014837170771592634
12589,0.014941333233164156
15848,0.011748521012446
19952,0.0037771692164755566
25118,0.00496933282170503
31622,0.0137211089731612
39810,0.008280806264912427
50118,0.010172602276719095
63095,0.009897589154142405
79432,0.007949744911524087
100000,0.00939156684492401
125892,0.006924971343044095
158489,0.004730041554176195
199526,0.005688657558096916
251188,0.004230299290031908
316227,0.003490113642728887
398107,0.0025622187449946543
501187,0.0010964195490454076
630957,0.0019088534352826592
794328,0.0014906021337393605
1000000,0.0015547329673450683
