iteration,exploitability_for_1_sql
1,0.9252992863284428
2,0.9252992863284428
3,0.9252992863284428
5,0.9252992863284428
6,0.9252992863284428
7,0.9252992863284428
10,0.9252992863284428
12,0.9252992863284428
15,0.9252992863284428
19,0.9252992863284428
25,0.9252992863284428
31,0.9252992863284428
39,0.9252992863284428
50,0.9252992863284428
63,0.9109716393589895
79,0.9109716393589895
100,0.9109716393589895
125,0.8978470504516558
158,0.8978470504516558
199,0.8869738291688745
251,0.8799813994546186
316,0.8771163976232146
398,0.8777148519449518
501,0.8880149486089147
630,0.9040812097131107
794,0.926338745158293
1000,0.9456401709420645
1258,0.9575589515591476
1584,0.952772083035589
1995,0.9198449986902135
2511,0.846999364460417
3162,0.722602886581813
3981,0.6295961506703669
5011,0.5217093115775044
6309,0.36966160125965053
7943,0.30914377967164997
10000,0.3046258071771303
12589,0.25045832253638334
15848,0.22851926386142046
19952,0.18810970084399722
25118,0.1859539138969239
31622,0.1853786951650514
39810,0.1584544165562383
50118,0.15591663422608928
63095,0.13100237032287562
79432,0.1250924709894033
100000,0.1030167936503015
125892,0.12941192600015675
158489,0.12271217210767221
199526,0.10760251942953061
251188,0.09749889113399851
316227,0.07373404999584376
398107,0.08708537580499093
501187,0.06463015626361204
630957,0.08677607995752987
794328,0.07440245163287093
1000000,0.057801660872104255
