iteration,exploitability_for_1_outcome_sampling_MCCFR
1,0.9166666666666665
2,1.0
3,0.6666666666666666
5,0.6666666666666666
6,0.6416666666666666
7,0.6416666666666666
10,0.6746125963140996
12,0.6287257031980324
15,0.5438985225766739
19,0.6079311583240159
25,0.6148426342533777
31,0.5744958984786592
39,0.5441775139025672
50,0.4596356080636182
63,0.44669978713637326
79,0.456705158222553
100,0.4497034777076069
125,0.42330099202075966
158,0.39352907749371635
199,0.37846229536950937
251,0.3705619300850729
316,0.36231950007003044
398,0.34547265509099623
501,0.32221548652961746
630,0.2954257890952541
794,0.27796001366188405
1000,0.24955927212118265
1258,0.20026000506110533
1584,0.1876536635016889
1995,0.1948357396593513
2511,0.1911781011937154
3162,0.17758484543388192
3981,0.14980512435568819
5011,0.10206022254389324
6309,0.11381949870511565
7943,0.1451552638147457
10000,0.09854201912691285
12589,0.05778351383765648
15848,0.07516583475639826
19952,0.05823631709556995
25118,0.07900430909421707
31622,0.059345527499575196
39810,0.0605163896421968
50118,0.051890619074757005
63095,0.04211706705943308
79432,0.052802180227078305
100000,0.04521946186392409
125892,0.05631088300462511
158489,0.06272334930407977
199526,0.05830233937566834
251188,0.05529829248947915
316227,0.05785870763410253
398107,0.05598440712341135
501187,0.047785244962649825
630957,0.046765430571473365
794328,0.04449824460610308
1000000,0.05489452243290108
