iteration,exploitability_for_42_sql
1,0.892543068041288
2,0.892543068041288
3,0.892543068041288
5,0.892543068041288
6,0.892543068041288
7,0.892543068041288
10,0.892543068041288
12,0.892543068041288
15,0.892543068041288
19,0.892543068041288
25,0.892543068041288
31,0.892543068041288
39,0.892543068041288
50,0.892543068041288
63,0.9045910897876313
79,0.9045910897876313
100,0.9045910897876313
125,0.9120538448454938
158,0.9120538448454938
199,0.9160248613519766
251,0.917225711370314
316,0.9156091235969377
398,0.9058147451759475
501,0.8906156525123141
630,0.871970569302937
794,0.8404458509184872
1000,0.7966109655307414
1258,0.7554913750803038
1584,0.6978236162360503
1995,0.6302495533196957
2511,0.6009446039571642
3162,0.5603870633069739
3981,0.5073133473706011
5011,0.41840963927004005
6309,0.36472314529993294
7943,0.33229856256435636
10000,0.3188188387388455
12589,0.31384646535216587
15848,0.29656840366703746
19952,0.28773066680676795
25118,0.3037041860800432
31622,0.34956495287796485
39810,0.4558685225934813
50118,0.4080206570879934
63095,0.3395127534005185
79432,0.26869457589310564
100000,0.1945248610711715
125892,0.15640839278192584
158489,0.11452249655629787
199526,0.08195427327555288
251188,0.05087076598240889
316227,0.041930601619239005
398107,0.02913132744996083
501187,0.05213037671993917
630957,0.037922451646419275
794328,0.01666651411049619
1000000,0.03215958713285877
