iteration,exploitability_for_42_sql
1,2.0625
2,2.0625
3,2.0625
5,2.0625
6,2.0625
7,2.0625
10,2.0625
12,2.0625
15,2.0625
19,2.0625
25,2.0625
31,2.0625
39,2.010113778841405
50,2.010113778841405
63,2.010113778841405
79,2.013027355535276
100,2.013027355535276
125,2.020870508838598
158,2.0307978586115287
199,2.0417890270430066
251,2.053122570560245
316,2.0747851405413176
398,2.1177280074983718
501,2.135662439430817
630,2.153271828236825
794,2.1374839973393858
1000,2.0748650296269284
1258,1.9498987367693026
1584,1.755337353688652
1995,1.4680587480168126
2511,1.1535881428789003
3162,0.8588595090897966
3981,0.6348031555398483
5011,0.5598715155940592
6309,0.4865966040470574
7943,0.4467090887049085
10000,0.4106638150997113
12589,0.34127437811164596
15848,0.3674692486999475
19952,0.5308145197850156
25118,0.7485091879184904
31622,0.915407000171503
39810,0.8381859151356461
50118,0.6169437081148119
63095,0.4842598273548177
79432,0.38512654412138925
100000,0.30683351629169375
125892,0.23919791273418906
158489,0.1618426189816699
199526,0.10506825279972432
251188,0.0878738475691101
316227,0.07466101276909216
398107,0.07193531649353223
501187,0.060058246940277865
630957,0.046575157021938283
794328,0.035936181421488265
1000000,0.04709245646580206
