iteration,exploitability_for_42_sql
1,2.0625
2,2.0625
3,2.0625
5,2.0625
6,2.0625
7,2.0625
10,2.0625
12,2.0625
15,2.0625
19,2.0625
25,2.0625
31,2.0625
39,2.010113778841405
50,2.010113778841405
63,2.010113778841405
79,1.9980589356654037
100,1.9980589356654037
125,1.9850469507265314
158,1.9719175886849931
199,1.9586045495866418
251,1.9452663665525158
316,1.9184378126243695
398,1.891382630749793
501,1.8502340715627097
630,1.79411044686701
794,1.7439196612323025
1000,1.6911280794247252
1258,1.6339108421563084
1584,1.563481854772247
1995,1.4564290837408702
2511,1.2526590116083611
3162,0.9347491544810709
3981,0.5934454174782355
5011,0.46812113816463574
6309,0.46645421457997827
7943,0.4557808477608139
10000,0.4453623853062229
12589,0.3856364656574589
15848,0.38330191867046237
19952,0.4652565912429459
25118,0.5415344865613552
31622,0.6387771938229887
39810,0.7254550577711046
50118,0.7235341216926214
63095,0.7162832081744793
79432,0.46589429514409375
100000,0.2880331297959462
125892,0.2643749835330768
158489,0.2174346040833796
199526,0.1408339615015376
251188,0.10837240794063639
316227,0.09106079913009747
398107,0.054781917875564204
501187,0.06307388890437261
630957,0.05768685658478479
794328,0.060571439243921874
1000000,0.046197667504673724
