iteration,exploitability_for_10_sql
0,3.6217351810812497
20,3.663085413010897
40,3.7085046445354557
60,3.7487327920752165
100,3.8018481379665627
120,3.8183174343156794
140,3.828845568756341
180,3.8365364373837716
240,3.8116255984808056
300,3.743686359664676
380,3.620392432459747
500,3.4273086421786214
620,3.2384396985125625
780,2.9933171677385944
1000,2.688059950632349
1240,2.3693281679342766
1580,1.8843010022386606
1980,1.4343335013729812
2500,1.132701265900713
3160,0.9553381935436454
3980,0.8947994463422281
5000,0.7367158830727241
6300,0.6332850554043605
7940,0.5500694341293435
10000,0.5633594671225745
12580,0.527350268705068
15840,0.6306999971347131
19940,0.9444542836998278
25100,1.1286008720484972
31620,0.8247759758518582
39800,0.654489451559486
50100,0.5342467079230835
63080,0.43131495817275595
79420,0.3559171344067162
100000,0.2880831195597607
125880,0.23820288903451897
158480,0.1956117360036099
199520,0.15660972664248818
251180,0.11404372220771562
316220,0.13014451199199184
398100,0.09015754847973785
501180,0.08718825570090276
630940,0.0683089854882975
794320,0.056673919760320074
1000000,0.06487794482381076
