iteration,exploitability_for_1_sql
0,3.32119571232822
20,3.3287628795296933
40,3.349057045716781
60,3.3729327060621888
100,3.4336724122551203
120,3.46377205880068
140,3.4893930349502096
180,3.52357019931962
240,3.543296857000517
300,3.526135450076711
380,3.447502917318434
500,3.2897778081539313
620,3.1242702578195596
780,2.899828474022181
1000,2.5876232042509084
1240,2.1992616443340287
1580,1.699256138136428
1980,1.2246536213284043
2500,0.9591763148039012
3160,0.9052482053687201
3980,0.7578953222333826
5000,0.6997822889145153
6300,0.6142262264207434
7940,0.5524412783547923
10000,0.5772727521050985
12580,0.5812524461667385
15840,0.647111990035804
19940,0.7844597677629317
25100,0.742128953135959
31620,0.8894875868790459
39800,0.754338280396733
50100,0.4764941503724829
63080,0.4090109702736642
79420,0.33943842939005586
100000,0.29733330025253957
125880,0.2982366963809604
158480,0.19210563549240212
199520,0.16061891141242213
251180,0.14762151977363175
316220,0.1249306061778428
398100,0.0839628170736526
501180,0.07964978944108905
630940,0.07231967827526872
794320,0.07263529601373447
1000000,0.06976160688823271
