iteration,exploitability_for_42_sql
1,3.476041666666668
2,3.476041666666668
3,3.476041666666668
5,3.476041666666668
6,3.476041666666668
7,3.476041666666668
10,3.476041666666668
12,3.476041666666668
15,3.476041666666668
19,3.476041666666668
25,3.476041666666668
31,3.2103883861259126
39,3.2103883861259126
50,3.2103883861259126
63,3.225548952175744
79,3.225548952175744
100,3.248176520213334
125,3.275068225397127
158,3.304130480190093
199,3.3686831067116003
251,3.4388009257176773
316,3.5065684406962925
398,3.5960296655490778
501,3.688242262148526
630,3.742919403828137
794,3.7621408595437136
1000,3.7002594114587235
1258,3.5103216967589677
1584,3.1325768463206267
1995,2.5696690385340775
2511,1.9986382677647025
3162,1.520771667121894
3981,1.2182300509338424
5011,1.0120671102441383
6309,0.9316444667068741
7943,0.7973635816565626
10000,0.7342050547487673
12589,0.6384475765802782
15848,0.5764329193161417
19952,0.6441160335034282
25118,0.6943355824734615
31622,0.7325947388370793
39810,0.7854717742003223
50118,0.9281808414054159
63095,1.05138594567272
79432,0.9369887810388086
100000,1.038501459654752
125892,0.9357259533986162
158489,0.8353595299177619
199526,0.8303474507815998
251188,1.0166024385030186
316227,1.1918998894616593
398107,0.746294237269636
501187,0.6827660384823027
630957,0.6403979341589427
794328,0.5262561528906105
1000000,0.5669249291073509
