iteration,exploitability_for_42_FSP
1,4.984060731738687
2,4.951236376350309
3,5.217175108774859
5,5.025052958533377
6,4.9897520326074485
7,4.953315690907917
10,4.714423814729081
12,4.567398694701648
15,4.4620495461462655
19,4.238206923891282
25,4.0686211412736215
31,3.9574898776289205
39,3.699105277006864
50,3.49861185679781
63,3.2864252251232102
79,3.0717463884533065
100,2.896897599498104
125,2.677180671639645
158,2.474510875764223
199,2.2529292490788277
251,2.0034507970978956
316,1.8012761482558537
398,1.6427372769848765
501,1.5010322297213585
630,1.3895154693656302
794,1.345448802338654
1000,1.1996438384321992
1258,1.0350026706275246
1584,1.0091004312368885
1995,0.9670521309392685
2511,0.9105538134860436
3162,0.794127929235994
3981,0.7520367097637602
5011,0.73835342179391
6309,0.6815359551161653
7943,0.6325415162455188
10000,0.5901809714754894
12589,0.5686559226590299
15848,0.5537101158360694
19952,0.5338302084036052
25118,0.5193180505636746
31622,0.5006023136029114
39810,0.48400109176155115
50118,0.45684142400571826
63095,0.432812909882931
79432,0.42547347057047835
100000,0.41662657955161964
125892,0.4074371273322218
158489,0.41500817485036107
199526,0.416030244733645
251188,0.4049085201978741
316227,0.3962403451540303
398107,0.3862486502232353
501187,0.37955481265394264
630957,0.3687201567584787
794328,0.358301850650255
1000000,0.3540663580014546
