iteration,exploitability_for_42_sql
1,5.01080729166667
2,5.01080729166667
3,5.01080729166667
5,5.01080729166667
6,5.01080729166667
7,5.01080729166667
10,5.01080729166667
12,5.01080729166667
15,5.01080729166667
19,5.01080729166667
25,4.955871154980059
31,4.955871154980059
39,4.955871154980059
50,5.0065697867857795
63,5.0065697867857795
79,5.059703015853936
100,5.102495807100221
125,5.136460518005426
158,5.175240606894469
199,5.173016173370221
251,5.147490680275235
316,5.081615052453208
398,4.974574260845826
501,4.832509512931591
630,4.676048849487979
794,4.348819463051399
1000,3.8739850222571883
1258,3.2216429926951062
1584,2.369330635861711
1995,1.730563022794954
2511,1.1997457081264593
3162,0.9646291727750302
3981,0.9439266916272693
5011,0.8401220299970855
6309,0.7098186305208806
7943,0.8180247113279868
10000,0.8277333884048631
12589,0.8866501674781759
15848,0.8519306912485064
19952,1.0039708051329401
25118,1.0987407115456693
31622,1.1296361756385764
39810,0.8909282590339819
50118,0.7762929774828048
63095,0.6146100480158868
79432,0.4603997088906629
100000,0.3968991704457398
125892,0.2845117525361452
158489,0.24533146378242965
199526,0.19037305457588227
251188,0.16744539123642085
316227,0.13061323552362578
398107,0.12691783431535172
501187,0.09644603291983515
630957,0.13284582621686064
794328,0.09506823436835274
1000000,0.08447080743625451
