iteration,exploitability_for_100_sql
1,5.31334354408847
2,5.31334354408847
3,5.31334354408847
5,5.31334354408847
6,5.31334354408847
7,5.31334354408847
10,5.31334354408847
12,5.31334354408847
15,5.31334354408847
19,5.31334354408847
25,5.31334354408847
31,5.31334354408847
39,5.389501967084114
50,5.389501967084114
63,5.389501967084114
79,5.459267016619979
100,5.523186472929586
125,5.523186472929586
158,5.584915576390144
199,5.7030499773196635
251,5.813877632696961
316,5.921858749097797
398,6.072507602927519
501,6.1773867260006625
630,6.181383663283642
794,5.74615181968033
1000,5.031042464731742
1258,4.614579387909277
1584,4.481843752141966
1995,4.509247145138928
2511,4.663688306266428
3162,4.6937810442894135
3981,4.6793776812583125
5011,4.718035054823695
6309,4.656734256897302
7943,4.2611941564994975
10000,3.9365084140981392
12589,3.5300574363207424
15848,3.224703015076703
19952,2.6471605529316067
25118,2.2058831929635776
31622,1.9762255927608743
39810,1.739747031077302
50118,1.630466693872892
63095,1.4870569404555067
79432,1.3803884238463224
100000,1.3879507722662943
125892,1.367982158715399
158489,1.4182734867813038
199526,1.2993414504510596
251188,1.3064402203004817
316227,1.2807052324379486
398107,1.2899434005803525
501187,1.1281129606181337
630957,1.0831482092130322
794328,0.8562890322766409
1000000,0.8424771921696279
