iteration,exploitability_for_10_FSP
4,4.788580246913581
8,4.841049382716049
12,4.913024691358023
16,4.922762345679013
24,4.9968364197530875
28,5.118981481481482
36,5.1927469135802475
48,5.246250000000001
60,5.222660934744268
76,5.316051587301587
100,5.382685185185185
124,5.493747302080636
156,5.89866273976568
196,6.142957711527156
248,5.852702041385899
316,5.736827718512188
396,5.588394471464078
500,5.609036316067577
628,5.4240758673694165
792,5.390957141625224
1000,5.608590121680828
1256,5.515245771719162
1584,5.6961680874016185
1992,5.569344723414654
2508,5.812727006095459
3160,5.744674243016981
3980,5.499793248482476
5008,5.079448101873855
6308,4.541713336146609
7940,4.165054277172867
10000,3.9067664492327827
12588,3.6366578494831705
15848,3.396476371205239
19952,3.199820469719133
25116,2.9110668051184496
31620,2.7445191091108767
39808,2.4986841816935197
50116,2.2237601070798356
63092,1.7294492648031046
79432,1.5501199613402104
100000,1.5201630445077385
125892,1.4683298861237817
158488,1.3878107426585284
199524,1.279006629365737
251188,1.2044016386978516
316224,1.1304698039117773
398104,1.1047528633812043
501184,1.074816641692617
630956,0.9821050238730193
794328,0.907658937038624
1000000,0.7967325038668485
