iteration,exploitability_for_1_sql
1,5.494492658583985
2,5.494492658583985
3,5.494492658583985
5,5.494492658583985
6,5.494492658583985
7,5.494492658583985
10,5.494492658583985
12,5.494492658583985
15,5.494492658583985
19,5.494492658583985
25,5.494492658583985
31,5.494492658583985
39,5.609111417691688
50,5.609111417691688
63,5.644341944746437
79,5.644341944746437
100,5.627089401501294
125,5.574419205709762
158,5.500001101042068
199,5.413095718092572
251,5.237820274269664
316,5.067048052623559
398,4.882122711218333
501,4.698617728254293
630,4.399355088145588
794,4.145081321971837
1000,4.126854608589793
1258,4.259933979293175
1584,4.354581504713302
1995,4.415590411990675
2511,4.4413992435021425
3162,4.3341197055621095
3981,4.289492070619087
5011,4.102990786918929
6309,3.9661165461600407
7943,3.748068161879993
10000,3.439951573307834
12589,3.0868470097244307
15848,2.702722440923476
19952,2.177930933745718
25118,1.9360516035481594
31622,1.78986942068782
39810,1.6251177752904749
50118,1.51986631718535
63095,1.49820001888365
79432,1.4370361279101485
100000,1.5062924464234584
125892,1.6667429361451078
158489,1.6753898062115176
199526,1.6699874998547415
251188,1.6300329324791678
316227,1.608745943089767
398107,1.4930212866588692
501187,1.2775358917247135
630957,1.1880464921409775
794328,0.9353781783185794
1000000,0.8153433800138933
