iteration,exploitability_for_1_sql
0,4.460420293593241
28,4.443903059210599
56,4.3552656750367325
84,4.244804205684166
112,4.144168527721161
140,4.054875189769182
196,3.882156626823318
224,3.7998454305578413
308,3.5936590383511593
392,3.4336979786732345
476,3.346436194802262
616,3.2924391811053413
784,3.3729270449534643
980,3.572625957437027
1232,3.9236045113882274
1568,4.200338388427634
1988,4.204970194116601
2492,4.216946067673147
3136,4.27894232130653
3976,4.270156431605872
4984,4.188482810073767
6300,4.136805459687954
7924,3.8609201561172877
9996,3.5509832500340712
12572,3.214299195586048
15848,2.415125009921664
19936,2.1447716090023947
25116,1.8595965389291753
31612,1.7491665183425888
39788,1.724614620006141
50092,1.5946747892583066
63084,1.5173453703477713
79408,1.4426607921447463
99988,1.2703368232959193
125888,1.2932775534212955
158480,1.381095284831684
199500,1.6146657136009275
251188,1.6602313083889904
316204,1.4479759856930914
398104,1.4874065815398005
501172,1.3548213700042595
630952,1.1230055834886263
794304,1.038813818290253
999992,0.9405370075644848
