iteration,exploitability_for_1_sql
0,5.494492658583985
28,5.5754126396434875
56,5.617297389284024
84,5.59344378734639
112,5.527141969471158
140,5.425559331855638
196,5.161903950532167
224,5.015858028927047
308,4.624852430991703
392,4.324229525526257
476,4.086752038389793
616,3.8663256428886132
784,3.8528646338427057
980,3.9154184354773016
1232,4.061074916408898
1568,4.29535946727076
1988,4.456992300661502
2492,4.546554720706926
3136,4.535806358795563
3976,4.5429390061058275
4984,4.494240424952501
6300,4.4302608824866105
7924,4.20333458425406
9996,3.9416858827874677
12572,3.614878199838352
15848,3.150986959032669
19936,2.702702003253507
25116,2.202019556640633
31612,2.046017069423704
39788,1.8754972706008628
50092,1.7173530778601296
63084,1.6767793979003436
79408,1.462820754369292
99988,1.3463794015611175
125888,1.291371693212459
158480,1.3425207782795738
199500,1.3944740343620974
251188,1.377342733898665
316204,1.4210695550563894
398104,1.3951330041379741
501172,1.146569669876056
630952,1.0188769935333966
794304,0.9543286688328563
999992,0.7035066466589878
