iteration,exploitability_for_42_dqn
1,5.062030705196674
2,5.062030705196674
3,5.062030705196674
5,5.062030705196674
6,5.062030705196674
7,5.062030705196674
10,5.062030705196674
12,5.062030705196674
15,5.062030705196674
19,5.062030705196674
25,5.062030705196674
31,5.062030705196674
39,5.0842331202882
50,5.0842331202882
63,5.0842331202882
79,5.126159175971667
100,5.1749020541092605
125,5.1749020541092605
158,5.230621722785667
199,5.34989736579633
251,5.411885017543984
316,5.594663438376471
398,5.680185883480425
501,5.738166699243189
630,5.672009324284655
794,5.3718052688421825
1000,4.687094822799438
1258,4.3334254609120215
1584,4.315191737956228
1995,4.496108905100389
2511,4.539504722834908
3162,4.570525260450451
3981,4.482227510288652
5011,4.2880707089941135
6309,4.030023017782441
7943,3.658277657701116
10000,3.2806028199120147
12589,2.9258568437604064
15848,2.3432291989781793
19952,2.0567766027534002
25118,1.9309064245053755
31622,1.837006763298496
39810,1.6368691780608486
50118,1.5534220549596562
63095,1.4359313407983434
79432,1.4750439323200952
100000,1.4489691105624218
125892,1.4828653858870933
158489,1.5849147693436154
199526,1.7072130721227112
251188,1.6239891095920176
316227,1.6529838775454697
398107,1.1918565283782612
501187,1.0321447658266913
630957,0.8104684710015295
794328,0.7758687172019223
1000000,0.7320110615973486
