iteration,exploitability_for_42_sql
1,4.747222222222224
2,4.747222222222224
3,4.747222222222224
5,4.747222222222224
6,4.747222222222224
7,4.747222222222224
10,4.747222222222224
12,4.747222222222224
15,4.747222222222224
19,4.747222222222224
25,4.747222222222224
31,4.747222222222224
39,5.027296803350101
50,5.027296803350101
63,5.027296803350101
79,4.992016474156852
100,4.9556605843561545
125,4.921692413751185
158,4.899744033435798
199,4.891192070526178
251,4.905151290916557
316,4.946348185903369
398,5.038146109073844
501,5.1127432600197285
630,5.034560003555212
794,4.668124504734967
1000,4.3801022071442475
1258,4.340912915543067
1584,4.353478110212086
1995,4.4668434480190875
2511,4.599322065948243
3162,4.512814230091071
3981,4.317995326939048
5011,4.173938067279812
6309,4.087048435468354
7943,3.8020753168495434
10000,3.39398403136192
12589,2.882061670401225
15848,2.385822063273877
19952,2.095651697380453
25118,1.9062296155810579
31622,1.7224710603276874
39810,1.6335853566888954
50118,1.503782390705081
63095,1.3549652806533776
79432,1.2758312462872434
100000,1.192369399158993
125892,1.1856875998856282
158489,1.2307446046835364
199526,1.288264542617633
251188,1.4243204622807646
316227,1.3268359600666348
398107,1.4259628141318978
501187,1.355404756538665
630957,1.2799138088267488
794328,1.187715131479216
1000000,1.152986774953003
