iteration,exploitability_for_42_sql
0,4.82305718255716
28,4.797565553050671
56,4.731603718520683
84,4.640666695917692
112,4.532347380350522
140,4.4222005263616495
196,4.2115958950527785
224,4.1169594866558405
308,3.879444198089522
392,3.73403972503177
476,3.663682779179534
616,3.655907929973079
784,3.7707460030840356
980,3.957891579159999
1232,4.110961221465407
1568,4.235324225381253
1988,4.242497572463463
2492,4.266376329444382
3136,4.229338732385325
3976,4.007544939214167
4984,3.9657982242288257
6300,3.6394045278641336
7924,3.4154439761185045
9996,2.981809188070168
12572,2.716179046701929
15848,2.3718568456953646
19936,1.9974344157136537
25116,1.7549802432616726
31612,1.617153010290426
39788,1.509361101836689
50092,1.5112866490647356
63084,1.4411885758699485
79408,1.4075653364194582
99988,1.3407327320450126
125888,1.4254671879981329
158480,1.317618403719193
199500,1.396948529431064
251188,1.457933011076348
316204,1.7452255859388233
398104,1.7520925022545932
501172,1.908525706140035
630952,1.7077413871300329
794304,1.4783251860422162
999992,1.158469816727832
