iteration,exploitability_for_42_sql
0,5.062030705196678
28,5.06692986046731
56,5.016327218375819
84,4.919229696249388
112,4.79692314847842
140,4.659538852594948
196,4.369547910068507
224,4.236974641663924
308,3.963631106889709
392,3.7746064023325454
476,3.6608232067278488
616,3.5789690706641517
784,3.6395971399839846
980,3.783238978372376
1232,4.0070905027652595
1568,4.180435821417194
1988,4.332162477406369
2492,4.429818681149502
3136,4.390597457696449
3976,4.292897721115827
4984,4.272189186152531
6300,4.1015683894462445
7924,3.784396560362257
9996,3.2655301976278257
12572,2.9772677729985575
15848,2.225749896660571
19936,1.9982639677036602
25116,1.8563041918061112
31612,1.7051724282859388
39788,1.655156849491707
50092,1.5409834436083674
63084,1.4505897285893115
79408,1.44943456271796
99988,1.3873923682720863
125888,1.5852672113260984
158480,1.7205067575152733
199500,2.038856274874995
251188,1.6973659584840095
316204,1.5475550831590255
398104,1.4856366538601922
501172,1.3175540888955939
630952,1.2774826842844424
794304,1.2454479129246963
999992,1.1417457397167001
