iteration,exploitability_for_42_dqn
1,4.747222222222224
3,4.747222222222224
5,4.747222222222224
10,4.747222222222224
17,4.747222222222224
31,4.747222222222224
56,5.027296803350101
100,4.9556605843561545
177,4.899744033435798
316,4.946348185903369
562,5.120851272248507
1000,4.457619550368184
1778,4.453059451322446
3162,4.528383622966172
5623,4.273993072897228
10000,3.5793443836564025
17782,2.3891961796370467
31622,1.6976406019266457
56234,1.4184681954055214
100000,1.584680567656914
177827,1.456452388973498
316227,1.4615344864297148
562341,0.95802307401043
1000000,0.7468036119916457
