iteration,exploitability_for_42_sql
1,4.747222222222224
3,4.747222222222224
5,4.747222222222224
10,4.747222222222224
17,4.747222222222224
31,4.747222222222224
56,5.027296803350101
100,4.9556605843561545
177,4.899744033435798
316,4.946348185903369
562,5.120851272248507
1000,4.457619550368184
1778,4.461622185748784
3162,4.506893489246183
5623,4.305504020637264
10000,3.544742446645258
17782,2.3869294028568557
31622,1.8378486253611417
56234,1.512587534074144
100000,1.3955629895773307
177827,1.496908264935568
316227,1.6389786304830132
562341,0.9416144839741996
1000000,0.7509800373486825
