iteration,exploitability_for_42_sql
1,4.747222222222224
2,4.747222222222224
3,4.747222222222224
5,4.747222222222224
6,4.747222222222224
7,4.747222222222224
10,4.747222222222224
12,4.747222222222224
15,4.747222222222224
19,4.747222222222224
25,4.747222222222224
31,4.747222222222224
39,5.027296803350101
50,5.027296803350101
63,5.027296803350101
79,4.992016474156852
100,4.9556605843561545
125,4.921692413751185
158,4.899744033435798
199,4.891192070526178
251,4.905151290916557
316,4.946348185903369
398,5.038146109073844
501,5.113014897660989
630,5.042437594644028
794,4.6817106038480425
1000,4.3824653718118585
